Teacher_ID,Full_Name,Gender,Country,Primary_Subject,Secondary_Subject,Education_Level,Years_of_Experience,Teaching_Style,Certifications,Availability,Language,Student_Rating,Courses_Taught,Is_Research_Active,Email
T00001,Brittany Rivera,Male,Germany,Economics,Biology,PhD,4,Project-based,PGCE,Part-time,Mandarin,4.94,82,True,brittany.rivera@example.edu
T00002,Ryan Smith,Non-Binary,India,Computer Science,History,Masters,9,Flipped Classroom,Online Certifications,Part-time,Spanish,4.53,5,False,ryan.smith@example.edu
T00003,Nicole Miranda,Male,France,Economics,English,Bachelors,23,Flipped Classroom,M.Ed,Part-time,French,3.22,38,False,nicole.miranda@example.edu
T00004,Eric Hayes,Non-Binary,USA,History,Chemistry,Bachelors,24,Lecture-based,None,Full-time,German,3.42,70,True,eric.hayes@example.edu
T00005,Sarah Hernandez,Female,Canada,Computer Science,Physics,PhD,40,Interactive,TESOL,Part-time,French,2.84,75,False,sarah.hernandez@example.edu
T00006,Jessica Gray,Male,USA,Geography,Mathematics,Masters,37,Flipped Classroom,Online Certifications,Full-time,French,4.1,63,True,jessica.gray@example.edu
T00007,Jill Gould,Male,Australia,Chemistry,Economics,Masters,24,Interactive,M.Ed,Full-time,French,3.12,73,False,jill.gould@example.edu
T00008,John Rodriguez,Male,USA,Philosophy,Mathematics,Bachelors,36,Lecture-based,M.Ed,Visiting,German,3.23,88,False,john.rodriguez@example.edu
T00009,Joseph Acevedo,Non-Binary,Germany,Mathematics,Physics,Bachelors,31,Lecture-based,M.Ed,Visiting,German,3.37,76,False,joseph.acevedo@example.edu
T00010,Steven Gutierrez,Female,India,History,History,Bachelors,11,Interactive,TESOL,Part-time,Mandarin,2.91,26,False,steven.gutierrez@example.edu
T00011,Travis Brooks,Male,USA,History,Physics,PhD,28,Flipped Classroom,PGCE,Visiting,Spanish,3.35,13,True,travis.brooks@example.edu
T00012,John Dodson,Female,Germany,Geography,Philosophy,PhD,29,Interactive,None,Full-time,English,3.65,76,False,john.dodson@example.edu
T00013,Michelle Cochran,Male,UK,Geography,Computer Science,PhD,31,Interactive,PGCE,Full-time,English,3.3,94,False,michelle.cochran@example.edu
T00014,Melissa Ortega,Female,Germany,Chemistry,Economics,Masters,17,Project-based,TESOL,Full-time,Mandarin,4.01,5,True,melissa.ortega@example.edu
T00015,Jessica Lewis,Female,India,Mathematics,English,Bachelors,14,Interactive,M.Ed,Full-time,Spanish,4.57,43,True,jessica.lewis@example.edu
T00016,Dwayne Garcia,Male,USA,Economics,English,Masters,17,Lecture-based,None,Part-time,Spanish,3.74,84,True,dwayne.garcia@example.edu
T00017,Kurt Woodard,Female,USA,Biology,Geography,Bachelors,27,Flipped Classroom,TESOL,Full-time,Mandarin,4.93,37,False,kurt.woodard@example.edu
T00018,Frank Armstrong,Female,Canada,Computer Science,Geography,Bachelors,24,Interactive,B.Ed,Part-time,Spanish,4.58,75,False,frank.armstrong@example.edu
T00019,Gail Hobbs,Male,USA,Geography,Biology,PhD,32,Flipped Classroom,None,Full-time,German,4.42,49,True,gail.hobbs@example.edu
T00020,Jamie Price,Non-Binary,Germany,Geography,Physics,Masters,18,Lecture-based,TESOL,Visiting,Spanish,3.46,6,False,jamie.price@example.edu
T00021,Dillon Willis,Non-Binary,USA,Mathematics,History,Bachelors,29,Lecture-based,B.Ed,Full-time,English,4.26,85,False,dillon.willis@example.edu
T00022,Gary Walker,Non-Binary,UK,Economics,Physics,Masters,32,Lecture-based,B.Ed,Visiting,English,4.09,54,False,gary.walker@example.edu
T00023,Benjamin Mcfarland,Non-Binary,India,Economics,Biology,Masters,39,Project-based,B.Ed,Visiting,Mandarin,4.51,40,True,benjamin.mcfarland@example.edu
T00024,James Wilson,Male,France,Physics,Computer Science,PhD,17,Project-based,None,Part-time,German,2.71,64,True,james.wilson@example.edu
T00025,Dawn Hanson,Female,USA,Computer Science,Physics,Masters,30,Lecture-based,M.Ed,Part-time,French,3.34,73,False,dawn.hanson@example.edu
T00026,Sean Banks,Non-Binary,USA,Computer Science,English,PhD,31,Flipped Classroom,Online Certifications,Visiting,English,3.43,11,False,sean.banks@example.edu
T00027,Charles Lopez,Male,India,English,English,Masters,13,Lecture-based,B.Ed,Part-time,Spanish,4.14,6,False,charles.lopez@example.edu
T00028,Amy Allison,Female,USA,Economics,Biology,Masters,26,Hybrid,B.Ed,Full-time,German,4.68,24,True,amy.allison@example.edu
T00029,Justin Williams,Male,Canada,Biology,English,Bachelors,24,Hybrid,PGCE,Visiting,Mandarin,3.34,27,False,justin.williams@example.edu
T00030,David Fleming,Male,Australia,Chemistry,Chemistry,Masters,10,Hybrid,PGCE,Part-time,Spanish,3.11,48,False,david.fleming@example.edu
T00031,Tracey Gomez,Male,Australia,Physics,Mathematics,Bachelors,9,Project-based,None,Part-time,English,2.85,46,True,tracey.gomez@example.edu
T00032,Paul Gould,Male,USA,Economics,Biology,Bachelors,26,Interactive,PGCE,Full-time,English,3.98,24,True,paul.gould@example.edu
T00033,Gabriel Owen,Female,Germany,History,Computer Science,Bachelors,16,Lecture-based,B.Ed,Visiting,French,4.64,92,False,gabriel.owen@example.edu
T00034,Raymond Whitehead,Female,Canada,Biology,Geography,PhD,12,Lecture-based,PGCE,Full-time,French,3.22,57,False,raymond.whitehead@example.edu
T00035,Connie Jackson,Female,USA,Economics,Economics,PhD,26,Hybrid,None,Part-time,French,4.88,64,False,connie.jackson@example.edu
T00036,Jenna Church,Female,India,Geography,English,Masters,20,Lecture-based,PGCE,Full-time,German,4.23,55,True,jenna.church@example.edu
T00037,Robin Wilson,Male,Australia,Chemistry,Mathematics,Bachelors,27,Lecture-based,PGCE,Full-time,English,4.06,21,False,robin.wilson@example.edu
T00038,Christopher Gardner MD,Male,India,Biology,Philosophy,Bachelors,35,Interactive,None,Visiting,Spanish,4.9,80,False,christopher.gardner.md@example.edu
T00039,Adam Simmons,Male,USA,Computer Science,Geography,PhD,4,Interactive,B.Ed,Part-time,German,3.05,85,True,adam.simmons@example.edu
T00040,Wanda Velez,Non-Binary,UK,Mathematics,History,PhD,35,Lecture-based,TESOL,Visiting,French,3.41,12,False,wanda.velez@example.edu
T00041,Tamara Martin,Non-Binary,UK,Mathematics,Computer Science,PhD,6,Hybrid,PGCE,Full-time,German,3.57,57,False,tamara.martin@example.edu
T00042,Cody Nelson,Non-Binary,Australia,Chemistry,Physics,PhD,33,Lecture-based,Online Certifications,Visiting,Spanish,3.12,18,True,cody.nelson@example.edu
T00043,Robert Johnson,Female,Canada,Philosophy,Biology,PhD,40,Flipped Classroom,TESOL,Full-time,Mandarin,3.89,49,False,robert.johnson@example.edu
T00044,Bethany Smith,Female,Germany,History,History,PhD,37,Hybrid,Online Certifications,Visiting,Spanish,4.01,91,True,bethany.smith@example.edu
T00045,David Powell,Female,France,Philosophy,Computer Science,PhD,4,Lecture-based,PGCE,Full-time,German,3.53,41,False,david.powell@example.edu
T00046,Terry Warren,Male,France,Chemistry,History,PhD,32,Interactive,Online Certifications,Full-time,German,4.42,69,True,terry.warren@example.edu
T00047,Andrew Alexander,Male,Canada,Philosophy,Physics,PhD,1,Lecture-based,B.Ed,Full-time,French,4.21,51,False,andrew.alexander@example.edu
T00048,Craig Silva,Non-Binary,Canada,History,English,Bachelors,22,Interactive,B.Ed,Part-time,Mandarin,4.72,23,True,craig.silva@example.edu
T00049,Christopher Davis,Male,Australia,Philosophy,English,PhD,12,Flipped Classroom,Online Certifications,Visiting,Mandarin,3.52,64,True,christopher.davis@example.edu
